company_name,website,email,vertical,city,state
Coastal Place,https://www.coastalplace.com,info@coastalplace.com,Retail,Phoenix,AZ
Eco Supply,https://www.ecosupply.com,support@ecosupply.com,Retail,Anaheim,CA
Elite Place,https://www.eliteplace.com,contact@eliteplace.com,Retail,Corpus Christi,TX
Scout Collective,https://www.scoutcollective.com,hello@scoutcollective.com,Retail,Huntington Beach,CA
Terra Store,https://www.terrastore.com,contact@terrastore.com,Retail,Dallas,TX
Crafted Boutique,https://www.craftedboutique.com,contact@craftedboutique.com,Retail,Hialeah,FL
Organic Boutique,https://www.organicboutique.com,sales@organicboutique.com,Retail,Chesapeake,VA
Ember Market,https://www.embermarket.com,sales@embermarket.com,Retail,Akron,OH
Premium Store,https://www.premiumstore.com,hello@premiumstore.com,Retail,Glendale,CA
True Thread,https://www.truethread.com,support@truethread.com,Retail,Cleveland,OH
Premium Goods,https://www.premiumgoods.com,hello@premiumgoods.com,Retail,Durham,NC
Geo Labs,https://www.geolabs.com,contact@geolabs.com,Retail,Orlando,FL
Pure Supply,https://www.puresupply.com,contact@puresupply.com,Retail,Boston,MA
Geo House,https://www.geohouse.com,contact@geohouse.com,Retail,Miami,FL
Oak Boutique,https://www.oakboutique.com,info@oakboutique.com,Retail,Colorado Springs,CO
Peak Finds,https://www.peakfinds.com,hi@peakfinds.com,Retail,Pittsburgh,PA
River Place,https://www.riverplace.com,sales@riverplace.com,Retail,Phoenix,AZ
Fine Goods,https://www.finegoods.com,hello@finegoods.com,Retail,Pittsburgh,PA
Coastal Place,https://www.coastalplace.com,contact@coastalplace.com,Retail,Baton Rouge,LA
Scout House,https://www.scouthouse.com,contact@scouthouse.com,Retail,Modesto,CA
Forest Wares,https://www.forestwares.com,sales@forestwares.com,Retail,Pittsburgh,PA
Pine Wares,https://www.pinewares.com,hello@pinewares.com,Retail,Nashville,TN
Sage Market,https://www.sagemarket.com,info@sagemarket.com,Retail,Yonkers,NY
Terra Labs,https://www.terralabs.com,team@terralabs.com,Retail,Denver,CO
Bloom Brand,https://www.bloombrand.com,hello@bloombrand.com,Retail,San Francisco,CA
Sunny Market,https://www.sunnymarket.com,contact@sunnymarket.com,Retail,Glendale,CA
Stone Supply,https://www.stonesupply.com,support@stonesupply.com,Retail,Honolulu,HI
Happy Supply,https://www.happysupply.com,team@happysupply.com,Retail,Jacksonville,FL
Root Market,https://www.rootmarket.com,support@rootmarket.com,Retail,San Diego,CA
Forest Labs,https://www.forestlabs.com,sales@forestlabs.com,Retail,Stockton,CA
Willow Labs,https://www.willowlabs.com,sales@willowlabs.com,Retail,Irvine,CA
Sunny Works,https://www.sunnyworks.com,info@sunnyworks.com,Retail,Tucson,AZ
Ember Labs,https://www.emberlabs.com,hello@emberlabs.com,Retail,Irving,TX
Southern Supply,https://www.southernsupply.com,team@southernsupply.com,Retail,Toledo,OH
Clay Boutique,https://www.clayboutique.com,contact@clayboutique.com,Retail,Columbus,GA
Daily Box,https://www.dailybox.com,info@dailybox.com,Retail,Cincinnati,OH
Handmade Shop,https://www.handmadeshop.com,hello@handmadeshop.com,Retail,Yonkers,NY
Clay Boutique,https://www.clayboutique.com,team@clayboutique.com,Retail,Mesa,AZ
Good Supply,https://www.goodsupply.com,contact@goodsupply.com,Retail,San Jose,CA
Nordic Goods,https://www.nordicgoods.com,contact@nordicgoods.com,Retail,Oklahoma City,OK
Handmade Thread,https://www.handmadethread.com,team@handmadethread.com,Retail,Mesa,AZ
Bloom Boutique,https://www.bloomboutique.com,info@bloomboutique.com,Retail,Anchorage,AK
Zen Market,https://www.zenmarket.com,info@zenmarket.com,Retail,Lexington,KY
Fine Wares,https://www.finewares.com,info@finewares.com,Retail,San Diego,CA
Eco Goods,https://www.ecogoods.com,contact@ecogoods.com,Retail,Garland,TX
Nordic Place,https://www.nordicplace.com,contact@nordicplace.com,Retail,Sacramento,CA
Ember Society,https://www.embersociety.com,hi@embersociety.com,Retail,Fresno,CA
Zen Works,https://www.zenworks.com,hi@zenworks.com,Retail,Columbus,OH
Vintage Trade,https://www.vintagetrade.com,contact@vintagetrade.com,Retail,Hialeah,FL
Coastal Box,https://www.coastalbox.com,support@coastalbox.com,Retail,Garland,TX
Elite Club,https://www.eliteclub.com,hello@eliteclub.com,Retail,Scottsdale,AZ
True Brand,https://www.truebrand.com,contact@truebrand.com,Retail,Nashville,TN
Artisan Craft,https://www.rtisancraft.com,hello@rtisancraft.com,Retail,Huntington Beach,CA
Ivy Studio,https://www.ivystudio.com,info@ivystudio.com,Retail,Tacoma,WA
Ivy Boutique,https://www.ivyboutique.com,info@ivyboutique.com,Retail,Columbus,GA
Premium Market,https://www.premiummarket.com,info@premiummarket.com,Retail,Minneapolis,MN
Modern Boutique,https://www.modernboutique.com,info@modernboutique.com,Retail,Tacoma,WA
Crafted Club,https://www.craftedclub.com,hi@craftedclub.com,Retail,Fresno,CA
Clay Labs,https://www.claylabs.com,support@claylabs.com,Retail,Fontana,CA
Forest Society,https://www.forestsociety.com,contact@forestsociety.com,Retail,Reno,NV
Handmade Wares,https://www.handmadewares.com,info@handmadewares.com,Retail,Lexington,KY
Teal Supply,https://www.tealsupply.com,hello@tealsupply.com,Retail,Rochester,NY
Pine Shop,https://www.pineshop.com,contact@pineshop.com,Retail,Orlando,FL
Southern House,https://www.southernhouse.com,hello@southernhouse.com,Retail,Madison,WI
Nordic Exchange,https://www.nordicexchange.com,contact@nordicexchange.com,Retail,Austin,TX
Eco Works,https://www.ecoworks.com,hello@ecoworks.com,Retail,Omaha,NE
Fig Goods,https://www.figgoods.com,info@figgoods.com,Retail,Chicago,IL
Ember Labs,https://www.emberlabs.com,info@emberlabs.com,Retail,North Las Vegas,NV
Happy Co,https://www.happyco.com,team@happyco.com,Retail,St. Paul,MN
Sunny Thread,https://www.sunnythread.com,info@sunnythread.com,Retail,Winston-Salem,NC
Organic Exchange,https://www.organicexchange.com,support@organicexchange.com,Retail,San Diego,CA
Warm Labs,https://www.warmlabs.com,contact@warmlabs.com,Retail,Philadelphia,PA
Moss Wares,https://www.mosswares.com,team@mosswares.com,Retail,Philadelphia,PA
Sunny House,https://www.sunnyhouse.com,support@sunnyhouse.com,Retail,North Las Vegas,NV
Earthy Society,https://www.earthysociety.com,sales@earthysociety.com,Retail,Charlotte,NC
Olive Thread,https://www.olivethread.com,info@olivethread.com,Retail,Hialeah,FL
Warm Finds,https://www.warmfinds.com,info@warmfinds.com,Retail,Albuquerque,NM
Fig Co,https://www.figco.com,info@figco.com,Retail,Reno,NV
Willow Market,https://www.willowmarket.com,info@willowmarket.com,Retail,Lexington,KY
Fig Place,https://www.figplace.com,team@figplace.com,Retail,Montgomery,AL
Terra Shop,https://www.terrashop.com,contact@terrashop.com,Retail,Laredo,TX
Maple Supply,https://www.maplesupply.com,hello@maplesupply.com,Retail,Mesa,AZ
Warm Store,https://www.warmstore.com,team@warmstore.com,Retail,Stockton,CA
Elite Goods,https://www.elitegoods.com,contact@elitegoods.com,Retail,Rochester,NY
Fine Market,https://www.finemarket.com,contact@finemarket.com,Retail,Anaheim,CA
Minted Store,https://www.mintedstore.com,hello@mintedstore.com,Retail,Durham,NC
Bloom Market,https://www.bloommarket.com,hello@bloommarket.com,Retail,Gilbert,AZ
Essential Wares,https://www.essentialwares.com,info@essentialwares.com,Retail,Cleveland,OH
Nordic Trade,https://www.nordictrade.com,hi@nordictrade.com,Retail,San Antonio,TX
Simple Finds,https://www.simplefinds.com,contact@simplefinds.com,Retail,Corpus Christi,TX
Root Trade,https://www.roottrade.com,hello@roottrade.com,Retail,Cincinnati,OH
Oak Exchange,https://www.oakexchange.com,hello@oakexchange.com,Retail,Modesto,CA
Maple Shop,https://www.mapleshop.com,sales@mapleshop.com,Retail,Akron,OH
Rustic Brand,https://www.rusticbrand.com,sales@rusticbrand.com,Retail,Milwaukee,WI
Southern Box,https://www.southernbox.com,info@southernbox.com,Retail,Milwaukee,WI
Heritage Wares,https://www.heritagewares.com,support@heritagewares.com,Retail,Nashville,TN
Zest Box,https://www.zestbox.com,info@zestbox.com,Retail,Jersey City,NJ
Moss Finds,https://www.mossfinds.com,contact@mossfinds.com,Retail,Colorado Springs,CO
Minted Place,https://www.mintedplace.com,hello@mintedplace.com,Retail,St. Louis,MO
Juniper Co,https://www.juniperco.com,info@juniperco.com,Retail,Toledo,OH
Maple Brand,https://www.maplebrand.com,info@maplebrand.com,Retail,Birmingham,AL
Wild House,https://www.wildhouse.com,sales@wildhouse.com,Retail,Minneapolis,MN
Heritage Society,https://www.heritagesociety.com,hello@heritagesociety.com,Retail,Minneapolis,MN
Bloom Store,https://www.bloomstore.com,contact@bloomstore.com,Retail,Durham,NC
Premium Studio,https://www.premiumstudio.com,hello@premiumstudio.com,Retail,Tampa,FL
Minted Labs,https://www.mintedlabs.com,contact@mintedlabs.com,Retail,Baltimore,MD
